period,demand,marketPrice,oldMarketPrace,player kazanma,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22,Player23,Player24,Player25,quant,player_bid_price,pltNum,Bioenergy,CCGT,Coal,Geothermal,Hydro,Nuclear,Solar,Wind,capacity,investmentCost,efficiency,capacityFactor,CO_Emission,to_build_period,operation_period,fc_Urn,fc_Coal,fc_Gas,fc_Bio,cc_Urn,cc_Coal,cc_Gas,cc_Bio
1,25308,200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,90,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,200,7,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,200,8,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,150,37,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,340,150,38,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,70,3,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,600,125,4,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,70,23,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,110,23,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,130,23,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,50,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,200,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
