period,demand,marketPrice,oldMarketPrace,player kazanma,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22,Player23,Player24,Player25,Player26,Player27,Player28,Player29,quant,Player_bid_price,pltNum,Bioenergy,CCGT,Coal,Geothermal,Hydro,Nuclear,Solar,Wind,capacity,investmentCost,efficiency,capacityFactor,CO_Emission,to_build_period,operation_period,fc_Urn,fc_Coal,fc_Gas,fc_Bio,cc_Urn,cc_Coal,cc_Gas,cc_Bio
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,8,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,31,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,100,31,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,65,32,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,100,32,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,150,32,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,100,42,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,70,42,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300,100,43,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,380,60,43,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,45,47,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
