period,demand,marketPrice,oldMarketPrace,player kazanma,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22,Player23,Player24,Player25,Player26,Player27,Player28,Player29,Player30,Player31,Player32,Player33,Player34,Player35,Player36,Player37,Player38,Player39,Player40,Player41,Player42,quant,Player_bid_price,pltNum,Bioenergy,CCGT,Coal,Geothermal,Hydro,Nuclear,Solar,Wind,capacity,investmentCost,efficiency,capacityFactor,CO_Emission,to_build_period,operation_period,fc_Urn,fc_Coal,fc_Gas,fc_Bio,cc_Urn,cc_Coal,cc_Gas,cc_Bio
1,34632,200,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,75,2,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,34632,200,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,60,2,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,34632,200,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,80,2,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,34632,200,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,2,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,34632,200,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,100,2,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,34632,200,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,3,18,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,34632,200,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,4,18,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,34632,200,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,10,18,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,34632,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,34,24,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,34632,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,75,28,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
